Tanggal Prediksi,SONY,1810.HK
2025-04-25,24.98,47.71
2025-04-28,24.83,47.25
2025-04-29,24.69,46.77
2025-04-30,24.55,46.3
2025-05-01,24.4,45.84
2025-05-02,24.26,45.38
2025-05-05,24.11,44.93
2025-05-06,23.96,44.47
2025-05-07,23.81,44.01
2025-05-08,23.65,43.55
2025-05-09,23.49,43.09
2025-05-12,23.34,42.63
2025-05-13,23.18,42.17
2025-05-14,23.02,41.71
2025-05-15,22.87,41.25
2025-05-16,22.71,40.79
2025-05-19,22.56,40.33
2025-05-20,22.4,39.87
2025-05-21,22.25,39.41
2025-05-22,22.09,38.95
2025-05-23,21.94,38.5
2025-05-26,21.78,38.04
2025-05-27,21.63,37.58
2025-05-28,21.48,37.12
2025-05-29,21.32,36.66
2025-05-30,21.17,36.2
2025-06-02,21.01,35.75
2025-06-03,20.86,35.29
2025-06-04,20.7,34.83
2025-06-05,20.55,34.37
2025-06-06,20.39,33.91
2025-06-09,20.24,33.46
2025-06-10,20.08,33.0
2025-06-11,19.93,32.54
2025-06-12,19.77,32.08
2025-06-13,19.62,31.62
2025-06-16,19.46,31.16
2025-06-17,19.31,30.71
2025-06-18,19.16,30.25
2025-06-19,19.0,29.79
2025-06-20,18.85,29.33
2025-06-23,18.69,28.87
2025-06-24,18.54,28.42
2025-06-25,18.39,27.96
2025-06-26,18.24,27.5
2025-06-27,18.1,27.04
2025-06-30,17.95,26.58
2025-07-01,17.81,26.12
2025-07-02,17.67,25.66
2025-07-03,17.52,25.2
2025-07-04,17.38,24.73
2025-07-07,17.23,24.27
2025-07-08,17.09,23.81
2025-07-09,16.95,23.34
2025-07-10,16.8,22.88
2025-07-11,16.66,22.42
2025-07-14,16.52,21.95
2025-07-15,16.38,21.49
2025-07-16,16.24,21.03
2025-07-17,16.1,20.56
2025-07-18,15.96,20.1
2025-07-21,15.82,19.64
2025-07-22,15.69,19.17
2025-07-23,15.55,18.7
2025-07-24,15.42,18.23
2025-07-25,15.29,17.76
2025-07-28,15.17,17.29
2025-07-29,15.04,16.82
2025-07-30,14.92,16.35
2025-07-31,14.79,15.88
2025-08-01,14.67,15.42
2025-08-04,14.54,14.95
2025-08-05,14.42,14.48
2025-08-06,14.3,14.01
2025-08-07,14.17,13.54
2025-08-08,14.05,13.07
2025-08-11,13.93,12.6
2025-08-12,13.8,12.13
2025-08-13,13.68,11.66
2025-08-14,13.56,11.19
2025-08-15,13.43,10.72
2025-08-18,13.31,10.25
2025-08-19,13.19,9.79
2025-08-20,13.06,9.33
2025-08-21,12.94,8.86
2025-08-22,12.81,8.4
2025-08-25,12.69,7.94
2025-08-26,12.56,7.48
2025-08-27,12.44,7.02
2025-08-28,12.31,6.55
